onset	duration	nwb_table	angle	cycles_per_second	cycles_per_degree	amplitude	movie_number
0.0	173.04448	epochs					
1.9922000000005937	2.0002999999996973	trials	315.0	1.0	0.05	1.0	0.0
5.992799999999988	1.992099999999482	trials	180.0	1.0	0.05	1.0	0.0
9.993399999999383	1.992099999999482	trials	225.0	1.0	0.05	1.0	0.0
13.993999999998778	1.9922000000005937	trials	270.0	1.0	0.05	1.0	0.0
17.994699999999284	1.992099999999482	trials	225.0	1.0	0.05	1.0	0.0
21.99529999999868	1.9922000000005937	trials	225.0	1.0	0.05	1.0	0.0
25.995999999999185	1.9922000000005937	trials	180.0	1.0	0.05	1.0	0.0
29.99669999999969	1.9922000000005937	trials	90.0	1.0	0.05	1.0	0.0
33.9974000000002	1.9922000000005937	trials	270.0	1.0	0.05	1.0	0.0
37.998100000000704	1.9922000000005937	trials	360.0	1.0	0.05	1.0	0.0
41.998899999998685	1.9922000000005937	trials	270.0	1.0	0.05	1.0	0.0
45.99959999999919	1.9922000000005937	trials	270.0	1.0	0.05	1.0	0.0
50.00040000000081	1.9840000000003783	trials	135.0	1.0	0.05	1.0	0.0
54.00119999999879	1.9840000000003783	trials	90.0	1.0	0.05	1.0	0.0
58.00200000000041	1.9840000000003783	trials	180.0	1.0	0.05	1.0	0.0
62.002800000002026	1.9839999999967404	trials	90.0	1.0	0.05	1.0	0.0
66.0036	1.9840000000003783	trials	45.0	1.0	0.05	1.0	0.0
70.0044999999991	2.000400000000809	trials	315.0	1.0	0.05	1.0	0.0
74.00530000000072	2.000400000000809	trials	360.0	1.0	0.05	1.0	0.0
78.0060999999987	2.000500000001921	trials	270.0	1.0	0.05	1.0	0.0
82.00699999999779	2.000400000004447	trials	360.0	1.0	0.05	1.0	0.0
86.00790000000052	1.9922000000005937	trials	315.0	1.0	0.05	1.0	0.0
90.00879999999961	1.9922000000005937	trials	135.0	1.0	0.05	1.0	0.0
94.0096999999987	1.9922000000005937	trials	135.0	1.0	0.05	1.0	0.0
98.01060000000143	1.9922000000005937	trials	315.0	1.0	0.05	1.0	0.0
102.01150000000052	1.9922000000005937	trials	360.0	1.0	0.05	1.0	0.0
106.01239999999962	1.9922000000005937	trials	225.0	1.0	0.05	1.0	0.0
110.01329999999871	1.9923000000017055	trials	180.0	1.0	0.05	1.0	0.0
114.0141999999978	1.9923000000017055	trials	360.0	1.0	0.05	1.0	0.0
118.01520000000164	1.9922000000005937	trials	45.0	1.0	0.05	1.0	0.0
122.01610000000073	1.9841000000014901	trials	225.0	1.0	0.05	1.0	0.0
126.01699999999983	1.9841000000014901	trials	90.0	1.0	0.05	1.0	0.0
130.01800000000003	1.9840999999978521	trials	135.0	1.0	0.05	1.0	0.0
134.01900000000023	1.9840000000003783	trials	180.0	1.0	0.05	1.0	0.0
138.01989999999932	1.9841000000014901	trials	45.0	1.0	0.05	1.0	0.0
142.02089999999953	2.000499999998283	trials	315.0	1.0	0.05	1.0	0.0
146.02189999999973	2.000400000000809	trials	45.0	1.0	0.05	1.0	0.0
150.02279999999882	2.000500000001921	trials	135.0	1.0	0.05	1.0	0.0
154.02379999999903	1.9923000000017055	trials	90.0	1.0	0.05	1.0	0.0
158.02479999999923	1.9923000000017055	trials	45.0	1.0	0.05	1.0	0.0
