onset	duration	nwb_table	angle	cycles_per_second	cycles_per_degree	amplitude	movie_number
0.0	175.27552	epochs					
2.0230000000010477	2.0063999999983935	trials	180.0	1.0	0.05	1.0	0.0
6.085699999995995	1.9897000000055414	trials	45.0	1.0	0.05	1.0	0.0
10.148399999998219	1.9896999999982654	trials	180.0	1.0	0.05	1.0	0.0
14.210999999995693	1.9981000000043423	trials	90.0	1.0	0.05	1.0	0.0
18.273699999997916	1.9814000000042142	trials	270.0	1.0	0.05	1.0	0.0
22.33640000000014	1.9896999999982654	trials	45.0	1.0	0.05	1.0	0.0
26.399100000002363	1.9896999999982654	trials	360.0	1.0	0.05	1.0	0.0
30.461699999999837	1.9980999999970663	trials	135.0	1.0	0.05	1.0	0.0
34.52440000000206	1.9980999999970663	trials	360.0	1.0	0.05	1.0	0.0
38.587100000004284	1.9897999999957392	trials	315.0	1.0	0.05	1.0	0.0
42.64979999999923	1.9898000000030152	trials	225.0	1.0	0.05	1.0	0.0
46.71259999999893	1.9979999999995925	trials	225.0	1.0	0.05	1.0	0.0
50.77530000000115	1.9979999999995925	trials	270.0	1.0	0.05	1.0	0.0
54.838000000003376	1.9896999999982654	trials	135.0	1.0	0.05	1.0	0.0
58.900699999998324	1.9898000000030152	trials	45.0	1.0	0.05	1.0	0.0
62.96349999999802	1.9897000000055414	trials	360.0	1.0	0.05	1.0	0.0
67.02620000000024	1.9980999999970663	trials	45.0	1.0	0.05	1.0	0.0
71.08890000000247	1.981499999994412	trials	270.0	1.0	0.05	1.0	0.0
75.15170000000217	1.9896999999982654	trials	135.0	1.0	0.05	1.0	0.0
79.21439999999711	1.9898000000030152	trials	180.0	1.0	0.05	1.0	0.0
83.27719999999681	1.9981000000043423	trials	90.0	1.0	0.05	1.0	0.0
87.33999999999651	1.9980000000068685	trials	360.0	1.0	0.05	1.0	0.0
91.40269999999873	1.9898000000030152	trials	180.0	1.0	0.05	1.0	0.0
95.46549999999843	1.9896999999982654	trials	225.0	1.0	0.05	1.0	0.0
99.52820000000065	1.9980999999970663	trials	270.0	1.0	0.05	1.0	0.0
103.59100000000035	1.9980999999970663	trials	315.0	1.0	0.05	1.0	0.0
107.65380000000005	1.9896999999982654	trials	225.0	1.0	0.05	1.0	0.0
111.71659999999974	1.9896999999982654	trials	90.0	1.0	0.05	1.0	0.0
115.77930000000197	1.9897999999957392	trials	45.0	1.0	0.05	1.0	0.0
119.84210000000166	1.9980999999970663	trials	225.0	1.0	0.05	1.0	0.0
123.90490000000136	1.9813999999969383	trials	135.0	1.0	0.05	1.0	0.0
127.96770000000106	1.9898000000030152	trials	90.0	1.0	0.05	1.0	0.0
132.03050000000076	1.9896999999982654	trials	315.0	1.0	0.05	1.0	0.0
136.09330000000045	1.9980999999970663	trials	135.0	1.0	0.05	1.0	0.0
140.15610000000015	1.9981000000043423	trials	90.0	1.0	0.05	1.0	0.0
144.21889999999985	1.9896999999982654	trials	180.0	1.0	0.05	1.0	0.0
148.28160000000207	1.9897999999957392	trials	270.0	1.0	0.05	1.0	0.0
152.34440000000177	1.9980999999970663	trials	315.0	1.0	0.05	1.0	0.0
156.40720000000147	1.9980999999970663	trials	315.0	1.0	0.05	1.0	0.0
160.47000000000116	1.9897999999957392	trials	360.0	1.0	0.05	1.0	0.0
200.646001	176.13568000000004	epochs					
202.66909999999916	2.0063999999983935	trials	45.0	1.0	0.05	1.0	1.0
206.73180000000139	1.9896999999982654	trials	135.0	1.0	0.05	1.0	1.0
210.7945000000036	1.9980999999970663	trials	45.0	1.0	0.05	1.0	1.0
214.85719999999856	1.9980999999970663	trials	180.0	1.0	0.05	1.0	1.0
218.91990000000078	1.9898000000030152	trials	360.0	1.0	0.05	1.0	1.0
222.98270000000048	1.9896999999982654	trials	360.0	1.0	0.05	1.0	1.0
227.0454000000027	1.9979999999995925	trials	315.0	1.0	0.05	1.0	1.0
231.10809999999765	1.9981000000043423	trials	270.0	1.0	0.05	1.0	1.0
235.17079999999987	1.981500000001688	trials	270.0	1.0	0.05	1.0	1.0
239.23359999999957	1.9896999999982654	trials	45.0	1.0	0.05	1.0	1.0
243.2963000000018	1.9897999999957392	trials	225.0	1.0	0.05	1.0	1.0
247.3591000000015	1.9979999999995925	trials	90.0	1.0	0.05	1.0	1.0
251.42179999999644	1.9814000000042142	trials	135.0	1.0	0.05	1.0	1.0
255.48459999999614	1.9897000000055414	trials	90.0	1.0	0.05	1.0	1.0
259.54729999999836	1.9898000000030152	trials	360.0	1.0	0.05	1.0	1.0
263.61009999999806	1.9981000000043423	trials	225.0	1.0	0.05	1.0	1.0
267.67289999999775	1.9979999999995925	trials	270.0	1.0	0.05	1.0	1.0
271.7356	1.9897999999957392	trials	135.0	1.0	0.05	1.0	1.0
275.7983999999997	1.9898000000030152	trials	90.0	1.0	0.05	1.0	1.0
279.86119999999937	1.9980999999970663	trials	135.0	1.0	0.05	1.0	1.0
283.92399999999907	1.9979999999995925	trials	360.0	1.0	0.05	1.0	1.0
287.9867000000013	1.981500000001688	trials	180.0	1.0	0.05	1.0	1.0
292.049500000001	1.9898000000030152	trials	180.0	1.0	0.05	1.0	1.0
296.1123000000007	1.9898000000030152	trials	225.0	1.0	0.05	1.0	1.0
300.1751000000004	1.9980999999970663	trials	315.0	1.0	0.05	1.0	1.0
304.2379000000001	1.9813999999969383	trials	315.0	1.0	0.05	1.0	1.0
308.3006999999998	1.9898000000030152	trials	270.0	1.0	0.05	1.0	1.0
312.3634999999995	1.9898000000030152	trials	315.0	1.0	0.05	1.0	1.0
316.4262999999992	1.9981000000043423	trials	180.0	1.0	0.05	1.0	1.0
320.48909999999887	1.9981000000043423	trials	45.0	1.0	0.05	1.0	1.0
324.55189999999857	1.9898000000030152	trials	225.0	1.0	0.05	1.0	1.0
328.61469999999827	1.9898000000030152	trials	90.0	1.0	0.05	1.0	1.0
332.67749999999796	1.9981000000043423	trials	315.0	1.0	0.05	1.0	1.0
336.74029999999766	1.9981000000043423	trials	225.0	1.0	0.05	1.0	1.0
340.80309999999736	1.981500000001688	trials	90.0	1.0	0.05	1.0	1.0
344.86590000000433	1.9897999999957392	trials	45.0	1.0	0.05	1.0	1.0
348.928700000004	1.9897999999957392	trials	135.0	1.0	0.05	1.0	1.0
352.9915000000037	1.9981999999945401	trials	270.0	1.0	0.05	1.0	1.0
357.0544000000009	1.9980999999970663	trials	360.0	1.0	0.05	1.0	1.0
361.1172000000006	1.9898000000030152	trials	180.0	1.0	0.05	1.0	1.0
432.939	176.46592000000004	epochs					
434.96220000000176	1.9979999999995925	trials	135.0	1.0	0.05	1.0	2.0
439.02479999999923	1.9896999999982654	trials	180.0	1.0	0.05	1.0	2.0
443.08750000000146	1.9896999999982654	trials	45.0	1.0	0.05	1.0	2.0
447.1502000000037	1.9979999999923166	trials	90.0	1.0	0.05	1.0	2.0
451.2128999999986	1.9979999999995925	trials	360.0	1.0	0.05	1.0	2.0
455.27560000000085	1.9813999999969383	trials	270.0	1.0	0.05	1.0	2.0
459.3383000000031	1.9896999999982654	trials	135.0	1.0	0.05	1.0	2.0
463.400999999998	1.9897000000055414	trials	90.0	1.0	0.05	1.0	2.0
467.46370000000024	1.9979999999995925	trials	45.0	1.0	0.05	1.0	2.0
471.52640000000247	1.9813999999969383	trials	135.0	1.0	0.05	1.0	2.0
475.5890999999974	1.9897000000055414	trials	315.0	1.0	0.05	1.0	2.0
479.65179999999964	1.9896999999982654	trials	270.0	1.0	0.05	1.0	2.0
483.71450000000186	1.9980999999970663	trials	180.0	1.0	0.05	1.0	2.0
487.7771999999968	1.9814000000042142	trials	360.0	1.0	0.05	1.0	2.0
491.83989999999903	1.9898000000030152	trials	315.0	1.0	0.05	1.0	2.0
495.90269999999873	1.9896999999982654	trials	90.0	1.0	0.05	1.0	2.0
499.96540000000095	1.9979999999995925	trials	180.0	1.0	0.05	1.0	2.0
504.0280999999959	1.9981000000043423	trials	360.0	1.0	0.05	1.0	2.0
508.0907999999981	1.9898000000030152	trials	225.0	1.0	0.05	1.0	2.0
512.1535999999978	1.9896999999982654	trials	45.0	1.0	0.05	1.0	2.0
516.2163	1.9980999999970663	trials	360.0	1.0	0.05	1.0	2.0
520.2790000000023	1.9980999999970663	trials	360.0	1.0	0.05	1.0	2.0
524.341800000002	1.9813999999969383	trials	225.0	1.0	0.05	1.0	2.0
528.4045000000042	1.9897999999957392	trials	90.0	1.0	0.05	1.0	2.0
532.4673000000039	1.9896999999982654	trials	135.0	1.0	0.05	1.0	2.0
536.5299999999988	1.9980999999970663	trials	45.0	1.0	0.05	1.0	2.0
540.5927999999985	1.9814000000042142	trials	45.0	1.0	0.05	1.0	2.0
544.6555000000008	1.9898000000030152	trials	270.0	1.0	0.05	1.0	2.0
548.7183000000005	1.9896999999982654	trials	315.0	1.0	0.05	1.0	2.0
552.7810000000027	1.9980999999970663	trials	315.0	1.0	0.05	1.0	2.0
556.8438000000024	1.9979999999995925	trials	180.0	1.0	0.05	1.0	2.0
560.9064999999973	1.9898000000030152	trials	270.0	1.0	0.05	1.0	2.0
564.969299999997	1.9897000000055414	trials	270.0	1.0	0.05	1.0	2.0
569.0319999999992	1.9981000000043423	trials	135.0	1.0	0.05	1.0	2.0
573.0947999999989	1.9981000000043423	trials	225.0	1.0	0.05	1.0	2.0
577.1575999999986	1.9813999999969383	trials	180.0	1.0	0.05	1.0	2.0
581.2203000000009	1.9897999999957392	trials	225.0	1.0	0.05	1.0	2.0
585.2831000000006	1.9896999999982654	trials	225.0	1.0	0.05	1.0	2.0
589.3457999999955	1.9981000000043423	trials	315.0	1.0	0.05	1.0	2.0
593.4086000000025	1.9813999999969383	trials	90.0	1.0	0.05	1.0	2.0
660.244001	181.88544000000002	epochs					
662.2669999999998	1.9981000000043423	trials	315.0	1.0	0.05	1.0	3.0
666.329700000002	1.9896999999982654	trials	180.0	1.0	0.05	1.0	3.0
670.3922999999995	1.9896999999982654	trials	225.0	1.0	0.05	1.0	3.0
674.4550000000017	1.9979999999995925	trials	270.0	1.0	0.05	1.0	3.0
678.5176999999967	1.9980000000068685	trials	225.0	1.0	0.05	1.0	3.0
682.5803000000014	1.9897999999957392	trials	225.0	1.0	0.05	1.0	3.0
686.6429999999964	1.9897000000055414	trials	180.0	1.0	0.05	1.0	3.0
690.7056999999986	1.9979999999995925	trials	90.0	1.0	0.05	1.0	3.0
694.7684000000008	1.9979999999995925	trials	270.0	1.0	0.05	1.0	3.0
698.8310999999958	1.9814000000042142	trials	360.0	1.0	0.05	1.0	3.0
702.893799999998	1.9896999999982654	trials	270.0	1.0	0.05	1.0	3.0
706.9565000000002	1.9896999999982654	trials	270.0	1.0	0.05	1.0	3.0
711.0192000000025	1.9979999999995925	trials	135.0	1.0	0.05	1.0	3.0
715.0818999999974	1.9814000000042142	trials	90.0	1.0	0.05	1.0	3.0
719.1445999999996	1.9896999999982654	trials	180.0	1.0	0.05	1.0	3.0
723.2073000000019	1.9896999999982654	trials	90.0	1.0	0.05	1.0	3.0
727.2700000000041	1.9980999999970663	trials	45.0	1.0	0.05	1.0	3.0
731.332699999999	1.9980999999970663	trials	315.0	1.0	0.05	1.0	3.0
735.3954999999987	1.9897000000055414	trials	360.0	1.0	0.05	1.0	3.0
739.4582000000009	1.9896999999982654	trials	270.0	1.0	0.05	1.0	3.0
743.5209000000032	1.9980999999970663	trials	360.0	1.0	0.05	1.0	3.0
747.5837000000029	1.9979999999995925	trials	315.0	1.0	0.05	1.0	3.0
751.6463999999978	1.9897000000055414	trials	135.0	1.0	0.05	1.0	3.0
755.7091	1.9898000000030152	trials	135.0	1.0	0.05	1.0	3.0
759.7718999999997	1.9896999999982654	trials	315.0	1.0	0.05	1.0	3.0
763.834600000002	1.9980999999970663	trials	360.0	1.0	0.05	1.0	3.0
767.8974000000017	1.9813999999969383	trials	225.0	1.0	0.05	1.0	3.0
771.9600999999966	1.9898000000030152	trials	180.0	1.0	0.05	1.0	3.0
776.0228999999963	1.9897000000055414	trials	360.0	1.0	0.05	1.0	3.0
780.0855999999985	1.9981000000043423	trials	45.0	1.0	0.05	1.0	3.0
784.1483999999982	1.9979999999995925	trials	225.0	1.0	0.05	1.0	3.0
788.2111000000004	1.9897999999957392	trials	90.0	1.0	0.05	1.0	3.0
792.2739000000001	1.9896999999982654	trials	135.0	1.0	0.05	1.0	3.0
796.3366000000024	1.9980999999970663	trials	180.0	1.0	0.05	1.0	3.0
800.3994000000021	1.9980999999970663	trials	45.0	1.0	0.05	1.0	3.0
804.4622000000018	1.9896999999982654	trials	315.0	1.0	0.05	1.0	3.0
808.524900000004	1.9897999999957392	trials	45.0	1.0	0.05	1.0	3.0
812.5877000000037	1.9896999999982654	trials	135.0	1.0	0.05	1.0	3.0
816.6505000000034	1.9979999999923166	trials	90.0	1.0	0.05	1.0	3.0
820.7131999999983	1.981500000001688	trials	45.0	1.0	0.05	1.0	3.0
875.493001	179.57503999999994	epochs					
877.5160000000033	1.9979999999923166	trials	135.0	1.0	0.05	1.0	4.0
881.5786000000007	1.9813999999969383	trials	360.0	1.0	0.05	1.0	4.0
885.641300000003	1.9896999999982654	trials	90.0	1.0	0.05	1.0	4.0
889.7039000000004	1.9896999999982654	trials	315.0	1.0	0.05	1.0	4.0
893.7664999999979	1.9981000000043423	trials	45.0	1.0	0.05	1.0	4.0
897.8292000000001	1.9979999999995925	trials	360.0	1.0	0.05	1.0	4.0
