onset	duration	nwb_table	angle	cycles_per_second	cycles_per_degree	amplitude	movie_number
0.0	172.7232	epochs					
1.9922999999980675	2.008700000002136	trials	135.0	1.0	0.05	1.0	0.0
5.9932000000007974	1.9921999999969557	trials	360.0	1.0	0.05	1.0	0.0
9.993999999998778	1.9840000000003783	trials	90.0	1.0	0.05	1.0	0.0
13.99489999999787	1.9840000000040163	trials	315.0	1.0	0.05	1.0	0.0
17.995699999999488	1.9840000000003783	trials	45.0	1.0	0.05	1.0	0.0
21.99659999999858	1.9840000000003783	trials	360.0	1.0	0.05	1.0	0.0
25.997400000000198	2.000400000000809	trials	180.0	1.0	0.05	1.0	0.0
29.99829999999929	2.000400000000809	trials	360.0	1.0	0.05	1.0	0.0
33.99910000000091	2.000499999998283	trials	180.0	1.0	0.05	1.0	0.0
38.0	2.000400000000809	trials	315.0	1.0	0.05	1.0	0.0
42.00089999999909	2.000400000000809	trials	225.0	1.0	0.05	1.0	0.0
46.00170000000071	1.9922999999980675	trials	225.0	1.0	0.05	1.0	0.0
50.0025999999998	1.9922000000005937	trials	135.0	1.0	0.05	1.0	0.0
54.003499999998894	1.9922000000005937	trials	270.0	1.0	0.05	1.0	0.0
58.004399999997986	1.9922000000005937	trials	45.0	1.0	0.05	1.0	0.0
62.005199999999604	1.9923000000017055	trials	270.0	1.0	0.05	1.0	0.0
66.0060999999987	1.9923000000017055	trials	225.0	1.0	0.05	1.0	0.0
70.00699999999779	1.9923000000017055	trials	315.0	1.0	0.05	1.0	0.0
74.00790000000052	1.9923000000017055	trials	315.0	1.0	0.05	1.0	0.0
78.00879999999961	1.9922000000005937	trials	360.0	1.0	0.05	1.0	0.0
82.0096999999987	1.9840000000003783	trials	45.0	1.0	0.05	1.0	0.0
86.01060000000143	1.9839999999967404	trials	315.0	1.0	0.05	1.0	0.0
90.01150000000052	1.9840000000003783	trials	135.0	1.0	0.05	1.0	0.0
94.01239999999962	1.9840000000003783	trials	180.0	1.0	0.05	1.0	0.0
98.01329999999871	2.000400000000809	trials	135.0	1.0	0.05	1.0	0.0
102.0141999999978	2.000400000004447	trials	360.0	1.0	0.05	1.0	0.0
106.01510000000053	2.000499999998283	trials	135.0	1.0	0.05	1.0	0.0
110.01599999999962	2.000499999998283	trials	90.0	1.0	0.05	1.0	0.0
114.01689999999871	1.9923000000017055	trials	270.0	1.0	0.05	1.0	0.0
118.01780000000144	1.9922999999980675	trials	180.0	1.0	0.05	1.0	0.0
122.01870000000054	1.9922999999980675	trials	90.0	1.0	0.05	1.0	0.0
126.01970000000074	1.9922000000005937	trials	225.0	1.0	0.05	1.0	0.0
130.02059999999983	1.9922000000005937	trials	225.0	1.0	0.05	1.0	0.0
134.02149999999892	1.9922000000005937	trials	270.0	1.0	0.05	1.0	0.0
138.02240000000165	1.9922999999980675	trials	45.0	1.0	0.05	1.0	0.0
142.02330000000075	1.9922999999980675	trials	270.0	1.0	0.05	1.0	0.0
146.02419999999984	1.9922999999980675	trials	45.0	1.0	0.05	1.0	0.0
150.02520000000004	1.9840000000003783	trials	180.0	1.0	0.05	1.0	0.0
154.02609999999913	1.9840000000003783	trials	90.0	1.0	0.05	1.0	0.0
158.02700000000186	1.9840999999978521	trials	90.0	1.0	0.05	1.0	0.0
419.619	172.7296	epochs					
421.6114000000016	2.0085999999973865	trials	270.0	1.0	0.05	1.0	2.0
425.6121999999996	1.9923000000017055	trials	45.0	1.0	0.05	1.0	2.0
429.61309999999867	1.9840000000003783	trials	315.0	1.0	0.05	1.0	2.0
433.6139000000003	1.9840999999978521	trials	225.0	1.0	0.05	1.0	2.0
437.6147999999994	1.9840000000003783	trials	360.0	1.0	0.05	1.0	2.0
441.6157000000021	1.9839999999967404	trials	315.0	1.0	0.05	1.0	2.0
445.6165000000001	1.9840999999978521	trials	90.0	1.0	0.05	1.0	2.0
449.6173999999992	2.000400000000809	trials	360.0	1.0	0.05	1.0	2.0
453.6183000000019	2.000399999997171	trials	270.0	1.0	0.05	1.0	2.0
457.6190999999999	2.000499999998283	trials	360.0	1.0	0.05	1.0	2.0
461.619999999999	2.000500000001921	trials	135.0	1.0	0.05	1.0	2.0
465.6209000000017	1.9922999999980675	trials	180.0	1.0	0.05	1.0	2.0
469.6218000000008	1.9922000000005937	trials	225.0	1.0	0.05	1.0	2.0
473.6226999999999	1.9922000000005937	trials	180.0	1.0	0.05	1.0	2.0
477.623599999999	1.9922000000005937	trials	180.0	1.0	0.05	1.0	2.0
481.6244999999981	1.9922000000005937	trials	180.0	1.0	0.05	1.0	2.0
485.6254000000008	1.9921999999969557	trials	315.0	1.0	0.05	1.0	2.0
489.6262999999999	1.9922000000005937	trials	135.0	1.0	0.05	1.0	2.0
493.627199999999	1.9922000000005937	trials	135.0	1.0	0.05	1.0	2.0
497.6281000000017	1.9839999999967404	trials	360.0	1.0	0.05	1.0	2.0
501.6290000000008	1.9840999999978521	trials	45.0	1.0	0.05	1.0	2.0
505.6298999999999	1.9841000000014901	trials	90.0	1.0	0.05	1.0	2.0
509.630799999999	1.9841000000014901	trials	270.0	1.0	0.05	1.0	2.0
513.6316999999981	1.9841000000014901	trials	315.0	1.0	0.05	1.0	2.0
517.6327000000019	2.000399999997171	trials	90.0	1.0	0.05	1.0	2.0
521.633600000001	2.000399999997171	trials	315.0	1.0	0.05	1.0	2.0
525.6345000000001	2.000400000000809	trials	270.0	1.0	0.05	1.0	2.0
529.6353999999992	2.000500000001921	trials	90.0	1.0	0.05	1.0	2.0
533.6362999999983	1.9923000000017055	trials	225.0	1.0	0.05	1.0	2.0
537.6373000000021	1.9921999999969557	trials	90.0	1.0	0.05	1.0	2.0
541.6382000000012	1.9922000000005937	trials	135.0	1.0	0.05	1.0	2.0
545.6391000000003	1.9922999999980675	trials	45.0	1.0	0.05	1.0	2.0
549.6399999999994	1.9923000000017055	trials	180.0	1.0	0.05	1.0	2.0
553.6409999999996	1.9922000000005937	trials	135.0	1.0	0.05	1.0	2.0
557.6418999999987	1.9923000000017055	trials	270.0	1.0	0.05	1.0	2.0
561.6428000000014	1.9922999999980675	trials	360.0	1.0	0.05	1.0	2.0
565.643799999998	1.9840000000040163	trials	225.0	1.0	0.05	1.0	2.0
569.6447000000007	1.9840999999978521	trials	225.0	1.0	0.05	1.0	2.0
573.6455999999998	1.9841000000014901	trials	45.0	1.0	0.05	1.0	2.0
577.6466	1.9840000000003783	trials	45.0	1.0	0.05	1.0	2.0
615.334	172.92672000000005	epochs					
617.3263999999981	2.000400000000809	trials	180.0	1.0	0.05	1.0	3.0
621.3271999999997	1.9922999999980675	trials	45.0	1.0	0.05	1.0	3.0
625.3280999999988	1.9923000000017055	trials	270.0	1.0	0.05	1.0	3.0
629.3289999999979	1.9922000000005937	trials	360.0	1.0	0.05	1.0	3.0
633.3299000000006	1.9922000000005937	trials	45.0	1.0	0.05	1.0	3.0
637.3307999999997	1.9922000000005937	trials	315.0	1.0	0.05	1.0	3.0
641.3316999999988	1.9922000000005937	trials	360.0	1.0	0.05	1.0	3.0
645.3325000000004	1.9923000000017055	trials	225.0	1.0	0.05	1.0	3.0
649.3333999999995	1.9923000000017055	trials	225.0	1.0	0.05	1.0	3.0
653.3343000000023	1.9922999999980675	trials	90.0	1.0	0.05	1.0	3.0
657.3352000000014	1.9840999999978521	trials	225.0	1.0	0.05	1.0	3.0
661.3361000000004	1.9841000000014901	trials	90.0	1.0	0.05	1.0	3.0
665.3371000000006	1.9840000000003783	trials	360.0	1.0	0.05	1.0	3.0
669.3379999999997	1.9840000000003783	trials	270.0	1.0	0.05	1.0	3.0
673.3388999999988	2.000400000000809	trials	270.0	1.0	0.05	1.0	3.0
677.3398000000016	2.000399999997171	trials	180.0	1.0	0.05	1.0	3.0
681.3407000000007	2.000499999998283	trials	270.0	1.0	0.05	1.0	3.0
685.3415999999997	2.000500000001921	trials	180.0	1.0	0.05	1.0	3.0
689.3424999999988	1.9923000000017055	trials	135.0	1.0	0.05	1.0	3.0
693.343499999999	1.9922000000005937	trials	225.0	1.0	0.05	1.0	3.0
697.3444000000018	1.9921999999969557	trials	270.0	1.0	0.05	1.0	3.0
701.3453000000009	1.9922999999980675	trials	315.0	1.0	0.05	1.0	3.0
705.3462	1.9922999999980675	trials	315.0	1.0	0.05	1.0	3.0
709.3472000000002	1.9922000000005937	trials	90.0	1.0	0.05	1.0	3.0
713.3480999999992	1.9923000000017055	trials	180.0	1.0	0.05	1.0	3.0
717.349000000002	1.9922999999980675	trials	225.0	1.0	0.05	1.0	3.0
721.3499999999985	1.9922000000005937	trials	45.0	1.0	0.05	1.0	3.0
725.3509000000013	1.9840999999978521	trials	135.0	1.0	0.05	1.0	3.0
729.3518000000004	1.9840999999978521	trials	315.0	1.0	0.05	1.0	3.0
733.3528000000006	1.9840000000003783	trials	135.0	1.0	0.05	1.0	3.0
737.3536999999997	1.9841000000014901	trials	180.0	1.0	0.05	1.0	3.0
741.3545999999988	2.000500000001921	trials	135.0	1.0	0.05	1.0	3.0
745.355599999999	2.000400000000809	trials	45.0	1.0	0.05	1.0	3.0
749.3565000000017	2.000499999998283	trials	45.0	1.0	0.05	1.0	3.0
753.3574999999983	2.000400000000809	trials	90.0	1.0	0.05	1.0	3.0
757.358400000001	1.9922999999980675	trials	360.0	1.0	0.05	1.0	3.0
761.3593000000001	1.9923000000017055	trials	135.0	1.0	0.05	1.0	3.0
765.3603000000003	1.9922999999980675	trials	315.0	1.0	0.05	1.0	3.0
769.3611999999994	1.9923000000017055	trials	360.0	1.0	0.05	1.0	3.0
773.3621999999996	1.9923000000017055	trials	90.0	1.0	0.05	1.0	3.0
818.382999	173.12256000000002	epochs					
820.3752999999997	1.9922000000005937	trials	360.0	1.0	0.05	1.0	4.0
824.3761999999988	1.9922000000005937	trials	360.0	1.0	0.05	1.0	4.0
828.3770000000004	1.9922999999980675	trials	360.0	1.0	0.05	1.0	4.0
832.3778999999995	1.9922000000005937	trials	270.0	1.0	0.05	1.0	4.0
836.3787999999986	1.9922000000005937	trials	360.0	1.0	0.05	1.0	4.0
840.3797000000013	1.9921999999969557	trials	90.0	1.0	0.05	1.0	4.0
844.3804999999993	1.9923000000017055	trials	90.0	1.0	0.05	1.0	4.0
848.3813999999984	1.9841000000014901	trials	270.0	1.0	0.05	1.0	4.0
852.3823000000011	1.9840999999978521	trials	180.0	1.0	0.05	1.0	4.0
856.3832000000002	1.9840999999978521	trials	90.0	1.0	0.05	1.0	4.0
860.3840999999993	1.9841000000014901	trials	90.0	1.0	0.05	1.0	4.0
864.385000000002	1.9840999999978521	trials	270.0	1.0	0.05	1.0	4.0
868.3859000000011	2.000499999998283	trials	180.0	1.0	0.05	1.0	4.0
872.3868000000002	2.000500000001921	trials	90.0	1.0	0.05	1.0	4.0
876.3876999999993	2.000500000001921	trials	90.0	1.0	0.05	1.0	4.0
880.3885999999984	2.000500000001921	trials	90.0	1.0	0.05	1.0	4.0
884.3896000000022	1.9921999999969557	trials	180.0	1.0	0.05	1.0	4.0
888.3905000000013	1.9922000000005937	trials	180.0	1.0	0.05	1.0	4.0
892.3914000000004	1.9922999999980675	trials	270.0	1.0	0.05	1.0	4.0
